47.589,-122.227, 2405 84th Ave SE, Mercer Island, WA 98040, USA
35.2243,-119.2017, Unnamed Road, Bakersfield, CA 93311, USA
44.0181,-114.4226, N/A, Challis, ID 83226, USA
44.7212,-70.2491, 343 Day Mountain Rd, Temple, ME 04984, USA
44.8777,-122.6556, Unnamed Road, Silverton, OR 97381, USA
45.5387,-122.2177, 43241 Historic Columbia River Hwy, Corbett, OR 97019, USA
45.5602,-122.1727, 47525 Historic Columbia River Hwy, Corbett, OR 97019, USA
45.5603,-122.1726, 47525 Historic Columbia River Hwy, Corbett, OR 97019, USA
45.5669,-122.3371, 3196 Index St, Washougal, WA 98671, USA
45.5707,-122.3132, Lewis and Clark Hwy, Washougal, WA 98671, USA
45.5774,-122.1167, 48314 Historic Columbia River Hwy, Corbett, OR 97019, USA
45.5776,-121.7925, Anthill Trail #406B, Cascade Locks, OR 97014, USA
45.5776,-122.1172, 48314 Historic Columbia River Hwy, Corbett, OR 97019, USA
45.5824,-122.768, Ridge Trail Trailhead, Portland, OR 97231, USA
45.589,-122.1787, Cape Horn Trail, N/A, Washington 98671, USA
45.5894,-122.392, 1641 NE 3rd Ave, Camas, WA 98607, USA
45.5908,-122.0685, Historic Columbia River Hwy, Cascade Locks, OR 97014, USA
45.5994,-122.5455, 12208 SE Evergreen Hwy, Vancouver, WA 98683, USA
45.5998,-122.4081, 2747 NE Everett St, Camas, WA 98607, USA
45.6013,-122.1111, 29920 Evergreen Hwy, Washougal, WA 98671, USA
45.6039,-122.4071, 3344 NE Everett St, Camas, WA 98607, USA
45.6124,-122.0044, 63941 NE Warrendale Rd, Cascade Locks, OR 97014, USA
45.6152,-122.0534, 101 Woodard Creek Rd, Stevenson, WA 98648, USA
45.6192,-122.0273, 11 Moorage Rd, Stevenson, WA 98648, USA
45.6214,-122.0233, 7 Moorage Rd, Stevenson, WA 98648, USA
45.6291,-122.0219, WA-14, Stevenson, WA 98648, USA
45.6325,-122.02, Hamilton Mountain Trail, Stevenson, WA 98648, USA
45.6325,-122.02, Hamilton Mountain Trail, Stevenson, WA 98648, USA
45.6345,-122.615, 5305 E 18th St, Vancouver, WA 98661, USA
45.6354,-116.4808, Unnamed Road, White Bird, ID 83554, USA
45.6359,-122.5802, 9007 NE 19th Cir, Vancouver, WA 98664, USA
45.6359,-122.5802, 9007 NE 19th Cir, Vancouver, WA 98664, USA
45.6363,-121.7426, Mount Defiance Trail #413, Cascade Locks, OR 97014, USA
45.6367,-122.46, 7986 NE Goodwin Rd, Camas, WA 98607, USA
45.638,-122.0318, 520 Kueffler Rd, Stevenson, WA 98648, USA
45.6383,-121.9202, 74166 NE Eagle Creek Loop, Cascade Locks, OR 97014, USA
45.643,-122.0127, Hamilton Mountain Trail, Stevenson, WA 98648, USA
45.6455,-121.9573, Dam Access Rd, North Bonneville, WA 98639, USA
45.6479,-121.9795, Shelly Ln, North Bonneville, WA 98639, USA
45.6503,-121.9326, Tamanous Trail #27, Stevenson, WA 98648, USA
45.6505,-121.9331, Tamanous Trail #27, Stevenson, WA 98648, USA
45.6507,-121.0992, 8608 Lewis and Clark Hwy, Lyle, WA 98635, USA
45.6507,-121.9349, WA-14, Stevenson, WA 98648, USA
45.6534,-122.6621, 4400 NE Leverich Park Way, Vancouver, WA 98663, USA
45.6554,-121.9607, 1252 E Cascade Dr, North Bonneville, WA 98639, USA
45.6568,-121.0866, 8694 Lewis and Clark Hwy, Centerville, WA 98613, USA
45.6569,-121.0864, 8695 Lewis and Clark Hwy, Centerville, WA 98613, USA
45.6589,-122.0218, E Hardy Trail, Stevenson, WA 98648, USA
45.6624,-121.8965, Bridge of the Gods, Cascade Locks, OR 97014, USA
