OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
1001,Gravel Road,Arcadia Management Area,None,791.81493624
1002,Gravel Road,Arcadia Management Area,None,271.510417661
1003,Gravel Road,Arcadia Management Area,NORTH SOUTH TRAIL,1424.79387306
1004,Gravel Road,Arcadia Management Area,None,250.755486794
1005,Gravel Road,Arcadia Management Area,NORTH SOUTH TRAIL,1336.77654082
1006,Gravel Road,Arcadia Management Area,NORTH SOUTH TRAIL,619.103066517
1007,Gravel Road,Arcadia Management Area,TEFFT HILL ROAD,4655.39400983
1008,Gravel Road,Arcadia Management Area,Tripp Trail,2782.23202326
1009,Gravel Road,Big River Management Area,None,2116.63074833
1010,Gravel Road,Big River Management Area,None,993.031851395
1011,Gravel Road,Big River Management Area,None,1439.64301336
1012,Gravel Road,Big River Management Area,None,4006.42555672
1013,Gravel Road,Big River Management Area,None,761.90446993
1014,Gravel Road,Big River Management Area,None,2742.84806253
1015,Gravel Road,Big River Management Area,None,5527.66865985
1016,Gravel Road,Buck Hill Management Area,None,9092.07310889
1017,Gravel Road,Buck Hill Management Area,None,8309.69101102
1018,Gravel Road,Burlingame Management Area,None,13166.217064
1019,Gravel Road,Camp Nokewa,None,2521.07051348
1020,Gravel Road,Carolina Management Area,None,3904.47845094
1021,Gravel Road,Carolina Management Area,None,4035.30421808
1022,Gravel Road,Carolina Management Area,None,4150.78073578
1023,Gravel Road,George Washington Management Area,None,4822.31236968
1024,Gravel Road,George Washington Management Area,None,1890.97853476
1025,Gravel Road,George Washington Management Area,None,1073.28743794
1026,Gravel Road,George Washington Management Area,None,7771.0931167
1027,Gravel Road,George Washington Management Area,Ski Trail,5339.19015814
1028,Gravel Road,George Washington Management Area,Ski Trail,9705.0304572
1029,Gravel Road,Lincoln Woods State Park,LincWoods,563.934818069
1030,Gravel Road,Lincoln Woods State Park,LincWoods,586.373709984
1031,Gravel Road,Tillinghast Pond Management Area,Gravel Road,4917.24186387
1032,Gravel Road,Wickaboxet Management Area,None,4673.0726673
1033,Gravel Road,Woody Hill Management Area,poor condition,7455.59070801
1034,Paved Path,Fort Adams,None,10758.0343832
1035,Paved Road,Colt State Park,None,835.08615211
1036,Paved Road,Colt State Park,None,306.551452002
1037,Paved Road,Colt State Park,None,1144.65098652
1038,Paved Road,Colt State Park,None,2854.70975465
1039,Paved Road,George Washington Management Area,None,671.752581317
1040,Paved Road,Lincoln Woods State Park,LincWoods,2897.14201659
1041,Paved Road,Lincoln Woods State Park,LincWoods,5259.0987639
1042,Paved Road,Lincoln Woods State Park,LincWoods,3198.7484102
1043,Paved Road,Lincoln Woods State Park,LincWoods,240.022789044
1044,Paved Road,Lincoln Woods State Park,LincWoods,163.180191712
1045,Paved Road,Lincoln Woods State Park,LincWoods,938.938711262
1046,Paved Road,Lincoln Woods State Park,LincWoods,5154.16880212
1047,Single Track,Arcadia Management Area,Arcadia Trail,1512.53252379
1048,Single Track,Arcadia Management Area,Fair,2148.07764218
1049,Single Track,Arcadia Management Area,FISKE TRAIL,1171.42635606
1050,Single Track,Arcadia Management Area,NO NAME,10030.0927901
1051,Single Track,Arcadia Management Area,NO NAME,7769.43634717
1052,Single Track,Arcadia Management Area,NO NAME,1489.7450744
1053,Single Track,Arcadia Management Area,NO NAME,3969.56358621
1054,Single Track,Arcadia Management Area,NO NAME,683.556484019
1055,Single Track,Arcadia Management Area,NO NAME,2670.45853278
1056,Single Track,Arcadia Management Area,NO NAME,326.533354952
1057,Single Track,Arcadia Management Area,NO NAME,2152.48199454
1058,Single Track,Arcadia Management Area,"no name , unknown",4022.12088611
1059,Single Track,Arcadia Management Area,None,2029.00083093
1060,Single Track,Arcadia Management Area,None,7295.7992776
1061,Single Track,Arcadia Management Area,None,2631.05321334
1062,Single Track,Arcadia Management Area,None,3609.97389336
1063,Single Track,Arcadia Management Area,None,4861.97787295
1064,Single Track,Arcadia Management Area,NORTH SOUTH TRAIL,3290.39366584
1065,Single Track,Arcadia Management Area,NORTH SOUTH TRAIL,1184.88817709
1066,Single Track,Arcadia Management Area,Old Ten Rod Road,1373.79073482
1067,Single Track,Arcadia Management Area,Paully Trail,9214.80747446
1068,Single Track,Arcadia Management Area,Shelter Trail,1807.69893441
1069,Single Track,Arcadia Management Area,Shelter Trail,7670.82797244
1070,Single Track,Arcadia Management Area,YELLOW DOT,1351.31586841
1071,Single Track,Big River Management Area,None,6128.2980138
1072,Single Track,Big River Management Area,None,770.043494737
1073,Single Track,Big River Management Area,None,1918.41290754
1074,Single Track,Big River Management Area,None,746.910194606
1075,Single Track,Big River Management Area,None,1669.35053424
1076,Single Track,Big River Management Area,None,384.914557616
1077,Single Track,Big River Management Area,None,331.594187475
1078,Single Track,Big River Management Area,None,3763.67474958
1079,Single Track,Big River Management Area,None,3243.05472593
1080,Single Track,Big River Management Area,None,7583.34796312
1081,Single Track,Big River Management Area,None,414.574887545
1082,Single Track,Big River Management Area,None,2548.66215821
1083,Single Track,Big River Management Area,None,2803.52364718
1084,Single Track,Big River Management Area,None,972.699828814
1085,Single Track,Big River Management Area,None,2099.89695166
1086,Single Track,Big River Management Area,None,1598.72338862
1087,Single Track,Big River Management Area,None,728.002491671
1088,Single Track,Big River Management Area,None,3504.33674137
1089,Single Track,Big River Management Area,None,5228.57955369
1090,Single Track,Big River Management Area,None,1108.92431174
1091,Single Track,Big River Management Area,None,2866.51950195
1092,Single Track,Big River Management Area,None,2629.41392345
1093,Single Track,Big River Management Area,None,3455.12902536
1094,Single Track,Big River Management Area,None,3367.90443958
1095,Single Track,Big River Management Area,None,2265.7216394
1096,Single Track,Big River Management Area,None,1201.33746464
1097,Single Track,Big River Management Area,None,4080.46737014
1098,Single Track,Big River Management Area,None,4132.37414039
